Year,Month ,Bought ,Sold ,NV ,Lost
2013,January ,735422368.7,712147000,403465.6,22871903.08
2013,February ,657988856.3,640633717.3,347800.55,17007338.45
2013,March,663373030.9,649168952.2,357794.55,13846284.18
2013,April,533983791.4,519744979.3,255663.8,13983148.33
2013,May,493381739.3,481595212.5,196548.4,11589978.44
2013,June,499389420.7,483343094.4,186242.8,15819126.46
2013,July,541294374.8,524752608.2,186976.8,16353993.75
2013,August,563513387.7,546375801.8,199089.05,16938496.91
2013,September,489427703.2,474983619.1,194299.9,14249784.22
2013,October,525995283.1,509500900,240461.5,16253921.63
2013,November,582859106.8,564593767.2,289505.1,17975834.53
2013,December,766140966.5,742112577.9,384063.7,23644324.9
2014,January,723248945.5,702867828.1,389911.2,19991206.21
2014,February,619939649.3,600626617.4,336639.6,18976392.29
2014,March,635439494.5,614640579.7,321660.5,20477254.27
2014,April,561186532.9,539972399.6,276316.6,20937816.72
2014,May,520628824.4,505341401.6,224297.4,15051180.39
2014,June,489459849.5,475718192.4,172845.4,13568276.65
2014,July,523832868.8,508906882.8,169613.65,14758418.31
2014,August,552865800.2,537320824.8,181359.75,15363615.66
2014,September,484747615.3,472778921.2,194663.55,11774030.59
2014,October,528079598.6,514296686.3,242700.45,13540211.91
2014,November,535390962.1,522034834.7,287696.5,13068430.94
2014,December,623120556.3,607848751.8,358957.9,14912846.58
2015,January,667719674.1,648780779.7,408273.8,18530620.65
2015,February,571246540.4,555576059.2,354459.9,15316021.26
2015,March,569102174.8,554554355.2,340109.65,14207710.03
2015,April,488946221.5,476446938.7,272978,12226304.84
2015,May,452280810.6,441559870.9,215553.65,10505386
2015,June,455791605.3,445232356.8,186546.5,10372702.01
2015,July,531678294.1,518909721.4,204354.9,12564217.85
2015,August,526992940.2,513025203.1,200984.25,13766752.84
2015,September,455948539.7,446813034.9,200451.25,8935053.503
2015,October,466406113.8,453419858.9,239957.1,12746297.8
2015,November,507424828.7,492898222.1,300855.15,14225751.49
2015,December,634891714.4,615809300.2,386893.35,18695520.86
2016,January,648559674.1,631998535.3,406464.7,16154674.15
2016,February,533350487.8,517022382.3,337648.15,15990457.36
2016,March,540435884.5,526041699.5,334365.2,14059819.82
2016,April,442073223.2,430356584.4,235147.45,11481491.36
